0,1,2
0.0,37.41859,-5.97325
1.0,37.35816,-5.98648
2.0,37.38951,-5.98436
3.0,37.4086,-5.97316
4.0,37.38152,-5.989
5.0,37.38354,-5.99991
6.0,37.36362,-5.98479
7.0,37.3861,-5.91009
8.0,37.3871,-5.97484
9.0,37.41147,-5.96676
10.0,37.40286,-5.92175
11.0,37.38432,-5.98248
12.0,37.40693,-5.98262
13.0,37.37153,-6.0028
14.0,37.39759,-5.98387
15.0,37.34532,-5.98266
16.0,37.40249,-5.97768
17.0,37.38566,-5.91345
18.0,37.40561,-5.93052
19.0,37.37574,-5.99926
20.0,37.40286,-6.00411
21.0,37.3774,-5.99197
22.0,37.40146,-5.98369
23.0,37.41891,-5.96322
24.0,37.38963,-6.00758
25.0,37.42476,-5.98482
26.0,37.38897,-5.99529
27.0,37.37232,-5.96317
28.0,37.4005,-5.9984
29.0,37.40499,-5.93581
30.0,37.40547,-5.98153
31.0,37.39484,-5.96843
32.0,37.40404,-5.98459
33.0,37.39208,-6.01105
34.0,37.39609,-5.95876
35.0,37.42163,-5.9715
36.0,37.40387,-5.9949
37.0,37.38882,-5.99586
38.0,37.39396,-5.9969
39.0,37.35066,-5.98419
40.0,37.37506,-5.96749
41.0,37.3765,-5.97267
42.0,37.40296,-5.95821
43.0,37.39363,-5.98187
44.0,37.39281,-5.99934
45.0,37.3462,-5.9762
46.0,37.39958,-5.99103
47.0,37.37741,-5.9749
48.0,37.39429,-5.99165
49.0,37.3986,-5.97363
50.0,37.37979,-5.99711
51.0,37.37836,-5.9794
52.0,37.37807,-6.01194
53.0,37.38112,-5.98695
54.0,37.40416,-6.0073
55.0,37.37614,-5.95502
56.0,37.35502,-5.98237
57.0,37.38274,-5.98372
58.0,37.36956,-5.96864
59.0,37.40647,-5.98912
60.0,37.36615,-5.97487
61.0,37.37124,-5.98921
62.0,37.40394,-5.93974
63.0,37.37335,-5.96493
64.0,37.38716,-5.97102
65.0,37.39994,-5.92516
66.0,37.32033,-5.9692
67.0,37.38986,-5.99113
68.0,37.38833,-5.9869
69.0,37.41174,-5.92986
70.0,37.39075,-5.91964
71.0,37.3812,-5.99353
72.0,37.38709,-5.94832
73.0,37.39701,-5.92376
74.0,37.37781,-6.00261
75.0,37.38718,-6.00138
76.0,37.41585,-6.00547
77.0,37.3837,-5.91482
78.0,37.37165,-5.99775
79.0,37.37796,-5.95197
80.0,37.36874,-5.95729
81.0,37.37823,-5.97936
82.0,37.39552,-6.00232
83.0,37.38435,-5.96538
84.0,37.37173,-5.9819
85.0,37.38882,-5.99575
86.0,37.39916,-5.98274
87.0,37.40933,-5.92325
88.0,37.40665,-5.99311
89.0,37.38512,-6.00354
90.0,37.40388,-5.97209
91.0,37.41292,-5.98891
92.0,37.42457,-5.96999
93.0,37.39387,-5.96237
94.0,37.39106,-6.00315
95.0,37.36297,-5.98626
96.0,37.39994,-5.95629
97.0,37.37237,-5.97736
98.0,37.39666,-5.98988
99.0,37.42179,-5.98318
100.0,37.38763,-5.98103
101.0,37.36859,-6.0037
102.0,37.40715,-5.97884
103.0,37.39687,-5.99393
104.0,37.38691,-6.00767
105.0,37.37972,-5.9838
106.0,37.40852,-5.97049
107.0,37.37404,-6.0042
108.0,37.37773,-6.00706
109.0,37.3954,-5.96404
110.0,37.38761,-5.96079
111.0,37.39982,-5.96192
112.0,37.39783,-5.97567
113.0,37.36732,-5.95412
114.0,37.42188,-5.98566
115.0,37.3838,-5.97745
116.0,37.40513,-5.97483
117.0,37.40417,-5.93459
118.0,37.37306,-5.96927
119.0,37.40934,-6.00634
120.0,37.38154,-5.99555
121.0,37.40747,-6.0076
122.0,37.39962,-5.97772
123.0,37.38377,-5.90892
124.0,37.39707,-6.0063
125.0,37.41104,-6.00196
126.0,37.38765,-5.96566
127.0,37.41011,-6.00572
128.0,37.37312,-5.99761
129.0,37.37756,-5.96656
130.0,37.38696,-5.97805
131.0,37.40604,-5.98573
132.0,37.38414,-5.97968
133.0,37.38111,-6.01201
134.0,37.35134,-5.97776
135.0,37.41316,-5.98536
136.0,37.38851,-5.95939
137.0,37.38208,-5.96812
138.0,37.40661,-6.00298
139.0,37.39739,-6.01064
140.0,37.40313,-5.99192
141.0,37.39201,-5.97829
142.0,37.37897,-5.96892
143.0,37.42045,-5.96796
144.0,37.39054,-5.95907
145.0,37.37368,-5.98546
146.0,37.39029,-5.97996
147.0,37.32873,-5.96824
148.0,37.37163,-5.98183
149.0,37.40258,-5.94044
150.0,37.37702,-5.94704
151.0,37.39834,-5.98164
152.0,37.38735,-5.98307
153.0,37.3754,-5.95255
154.0,37.38976,-5.98702
155.0,37.39675,-5.97863
156.0,37.39871,-5.98946
157.0,37.41786,-5.9693
158.0,37.38312,-6.01088
159.0,37.38078,-6.00918
160.0,37.38337,-6.00829
161.0,37.39568,-5.97367
162.0,37.37988,-5.97438
163.0,37.38175,-5.99328
164.0,37.40564,-5.99849
165.0,37.40333,-5.98904
166.0,37.4008,-5.97523
167.0,37.40509,-5.96886
168.0,37.39046,-5.9981
169.0,37.39769,-5.9616
170.0,37.38857,-6.01028
171.0,37.37574,-6.00568
172.0,37.35983,-5.98638
173.0,37.40847,-5.92801
174.0,37.40246,-5.97015
175.0,37.4146,-5.97388
176.0,37.40054,-5.97978
177.0,37.36705,-5.9711
178.0,37.36885,-5.98162
179.0,37.38994,-5.97076
180.0,37.39145,-5.97276
181.0,37.4,-5.9691
182.0,37.40334,-5.98788
183.0,37.37896,-5.98997
184.0,37.40097,-6.00938
185.0,37.34806,-5.98006
186.0,37.38263,-5.97085
187.0,37.39002,-5.97447
188.0,37.3828,-5.97351
189.0,37.38158,-5.96522
190.0,37.39879,-5.99347
191.0,37.40411,-5.93709
192.0,37.40389,-5.92795
193.0,37.37323,-5.97389
194.0,37.388,-5.99359
195.0,37.41022,-5.92642
196.0,37.38044,-5.95348
197.0,37.3952,-5.99087
198.0,37.36026,-5.97666
199.0,37.37769,-5.9608
200.0,37.41568,-5.96786
201.0,37.41217,-6.00634
202.0,37.39226,-5.98988
203.0,37.39739,-5.91878
204.0,37.40167,-5.94214
205.0,37.38426,-5.97259
206.0,37.37679,-5.99789
207.0,37.37508,-5.97586
208.0,37.42344,-5.9664
209.0,37.41335,-5.98257
210.0,37.40103,-5.98858
211.0,37.38645,-5.9976
212.0,37.32458,-5.96897
213.0,37.35635,-5.98646
214.0,37.41099,-5.97163
215.0,37.40813,-5.91999
216.0,37.39755,-5.9967
217.0,37.38735,-5.91992
218.0,37.39454,-5.9799
219.0,37.36143,-5.9816
220.0,37.39784,-5.9985
221.0,37.38934,-5.99961
222.0,37.39291,-5.97074
223.0,37.36475,-5.98145
224.0,37.40068,-5.99363
225.0,37.39302,-5.98686
226.0,37.37773,-5.97724
227.0,37.38554,-6.01109
228.0,37.38132,-6.00105
229.0,37.37005,-5.9595
230.0,37.38061,-5.96057
231.0,37.39332,-5.98377
232.0,37.40071,-5.92654
233.0,37.37716,-5.98194
234.0,37.38714,-5.94841
235.0,37.40313,-5.98111
236.0,37.38535,-5.98679
237.0,37.39648,-5.98737
238.0,37.39445,-5.92123
239.0,37.38894,-5.99565
240.0,37.39071,-5.98277
241.0,37.40965,-5.9844
242.0,37.40487,-5.98654
243.0,37.39423,-6.01031
244.0,37.35874,-5.98128
245.0,37.40202,-5.98632
246.0,37.3698,-5.97819
247.0,37.35637,-5.97926
248.0,37.38015,-6.00438
249.0,37.37477,-5.99854
250.0,37.39116,-5.97597
251.0,37.36913,-5.98808
252.0,37.36805,-5.98485
253.0,37.3913,-5.98814
254.0,37.35983,-5.98638
255.0,37.37465,-5.9938
256.0,37.38664,-5.95398
257.0,37.39154,-5.96847
258.0,37.4091,-5.99092
